FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree
6001400100,"Census Tract 4001, Alameda County, California","Census Tract 4001, Alameda County, California",6,1,400100,3353,2225,0,79,216,747,637,253,293
6001400200,"Census Tract 4002, Alameda County, California","Census Tract 4002, Alameda County, California",6,1,400200,1944,1601,5,115,192,583,365,185,156
6001400300,"Census Tract 4003, Alameda County, California","Census Tract 4003, Alameda County, California",6,1,400300,5376,4267,235,297,516,1651,1110,174,284
6001400400,"Census Tract 4004, Alameda County, California","Census Tract 4004, Alameda County, California",6,1,400400,4152,3411,175,184,456,1134,923,296,243
6001400500,"Census Tract 4005, Alameda County, California","Census Tract 4005, Alameda County, California",6,1,400500,3618,2879,125,336,583,1189,425,105,116
6001400600,"Census Tract 4006, Alameda County, California","Census Tract 4006, Alameda County, California",6,1,400600,1691,1311,114,229,236,518,150,18,46
6001400700,"Census Tract 4007, Alameda County, California","Census Tract 4007, Alameda County, California",6,1,400700,4062,2974,242,598,924,676,359,101,74
6001400800,"Census Tract 4008, Alameda County, California","Census Tract 4008, Alameda County, California",6,1,400800,3071,2463,283,480,605,621,310,87,77
6001400900,"Census Tract 4009, Alameda County, California","Census Tract 4009, Alameda County, California",6,1,400900,2178,1511,113,151,465,536,207,31,8
6001401000,"Census Tract 4010, Alameda County, California","Census Tract 4010, Alameda County, California",6,1,401000,5007,3921,572,850,1157,877,385,56,24
6001401100,"Census Tract 4011, Alameda County, California","Census Tract 4011, Alameda County, California",6,1,401100,4054,3189,162,449,907,1133,385,73,80
6001401200,"Census Tract 4012, Alameda County, California","Census Tract 4012, Alameda County, California",6,1,401200,2456,2076,79,269,565,637,373,62,91
6001401300,"Census Tract 4013, Alameda County, California","Census Tract 4013, Alameda County, California",6,1,401300,3983,3234,525,785,856,663,270,96,39
6001401400,"Census Tract 4014, Alameda County, California","Census Tract 4014, Alameda County, California",6,1,401400,4340,2536,657,703,781,278,90,0,27
6001401500,"Census Tract 4015, Alameda County, California","Census Tract 4015, Alameda County, California",6,1,401500,2080,1613,248,306,620,330,91,15,3
6001401600,"Census Tract 4016, Alameda County, California","Census Tract 4016, Alameda County, California",6,1,401600,1889,1203,330,265,366,105,76,4,57
6001401700,"Census Tract 4017, Alameda County, California","Census Tract 4017, Alameda County, California",6,1,401700,2544,1816,426,236,434,525,150,45,0
6001401800,"Census Tract 4018, Alameda County, California","Census Tract 4018, Alameda County, California",6,1,401800,2112,1131,172,227,397,253,64,9,9
6001402200,"Census Tract 4022, Alameda County, California","Census Tract 4022, Alameda County, California",6,1,402200,2505,1615,309,363,557,289,69,10,18
6001402400,"Census Tract 4024, Alameda County, California","Census Tract 4024, Alameda County, California",6,1,402400,3101,1981,410,367,949,208,47,0,0
6001402500,"Census Tract 4025, Alameda County, California","Census Tract 4025, Alameda County, California",6,1,402500,2026,1079,195,364,377,116,15,12,0
6001402600,"Census Tract 4026, Alameda County, California","Census Tract 4026, Alameda County, California",6,1,402600,955,844,233,172,164,217,43,6,9
6001402700,"Census Tract 4027, Alameda County, California","Census Tract 4027, Alameda County, California",6,1,402700,1583,1075,309,205,294,172,70,25,0
6001402800,"Census Tract 4028, Alameda County, California","Census Tract 4028, Alameda County, California",6,1,402800,3044,2577,672,344,730,537,180,53,61
6001402900,"Census Tract 4029, Alameda County, California","Census Tract 4029, Alameda County, California",6,1,402900,1254,1074,216,247,252,268,81,10,0
6001403000,"Census Tract 4030, Alameda County, California","Census Tract 4030, Alameda County, California",6,1,403000,2368,2076,922,324,285,397,69,32,47
6001403100,"Census Tract 4031, Alameda County, California","Census Tract 4031, Alameda County, California",6,1,403100,1535,1288,312,173,271,282,156,59,35
6001403300,"Census Tract 4033, Alameda County, California","Census Tract 4033, Alameda County, California",6,1,403300,4040,3274,838,441,469,955,318,86,167
6001403400,"Census Tract 4034, Alameda County, California","Census Tract 4034, Alameda County, California",6,1,403400,4318,3712,398,547,930,1156,549,115,17
6001403501,"Census Tract 4035.01, Alameda County, California","Census Tract 4035.01, Alameda County, California",6,1,403501,4178,3410,456,381,1067,710,502,100,194
6001403502,"Census Tract 4035.02, Alameda County, California","Census Tract 4035.02, Alameda County, California",6,1,403502,2039,1872,122,205,607,501,351,77,9
6001403600,"Census Tract 4036, Alameda County, California","Census Tract 4036, Alameda County, California",6,1,403600,4334,3668,266,343,1094,1143,580,71,171
6001403701,"Census Tract 4037.01, Alameda County, California","Census Tract 4037.01, Alameda County, California",6,1,403701,2497,2299,39,184,472,843,463,163,135
6001403702,"Census Tract 4037.02, Alameda County, California","Census Tract 4037.02, Alameda County, California",6,1,403702,1969,1718,27,144,342,590,385,114,116
6001403800,"Census Tract 4038, Alameda County, California","Census Tract 4038, Alameda County, California",6,1,403800,3545,2836,78,180,558,1100,517,249,154
6001403900,"Census Tract 4039, Alameda County, California","Census Tract 4039, Alameda County, California",6,1,403900,3983,3227,100,284,725,1213,562,249,94
6001404000,"Census Tract 4040, Alameda County, California","Census Tract 4040, Alameda County, California",6,1,404000,2798,2424,121,234,604,816,447,97,105
6001404101,"Census Tract 4041.01, Alameda County, California","Census Tract 4041.01, Alameda County, California",6,1,404101,2812,2360,11,86,454,1128,418,109,154
6001404102,"Census Tract 4041.02, Alameda County, California","Census Tract 4041.02, Alameda County, California",6,1,404102,2614,2274,127,192,451,798,566,61,79
6001404200,"Census Tract 4042, Alameda County, California","Census Tract 4042, Alameda County, California",6,1,404200,3496,2380,61,101,210,747,685,306,270
6001404300,"Census Tract 4043, Alameda County, California","Census Tract 4043, Alameda County, California",6,1,404300,3436,2681,76,196,291,946,628,382,162
6001404400,"Census Tract 4044, Alameda County, California","Census Tract 4044, Alameda County, California",6,1,404400,5058,3807,36,143,452,1494,850,512,320
6001404501,"Census Tract 4045.01, Alameda County, California","Census Tract 4045.01, Alameda County, California",6,1,404501,1822,1332,46,63,109,506,311,171,126
6001404502,"Census Tract 4045.02, Alameda County, California","Census Tract 4045.02, Alameda County, California",6,1,404502,5540,4337,0,148,606,1703,1145,494,241
6001404600,"Census Tract 4046, Alameda County, California","Census Tract 4046, Alameda County, California",6,1,404600,4536,3422,62,141,655,1288,750,302,224
6001404700,"Census Tract 4047, Alameda County, California","Census Tract 4047, Alameda County, California",6,1,404700,1973,1482,37,119,219,549,363,74,121
6001404800,"Census Tract 4048, Alameda County, California","Census Tract 4048, Alameda County, California",6,1,404800,2746,2015,94,287,576,608,287,125,38
6001404900,"Census Tract 4049, Alameda County, California","Census Tract 4049, Alameda County, California",6,1,404900,4295,3418,221,444,575,1261,630,144,143
