FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied
6001400100,"Census Tract 4001, Alameda County, California","Census Tract 4001, Alameda County, California",6,1,400100,3353,1384,1293,1061,232
6001400200,"Census Tract 4002, Alameda County, California","Census Tract 4002, Alameda County, California",6,1,400200,1944,891,830,574,256
6001400300,"Census Tract 4003, Alameda County, California","Census Tract 4003, Alameda County, California",6,1,400300,5376,2600,2472,1101,1371
6001400400,"Census Tract 4004, Alameda County, California","Census Tract 4004, Alameda County, California",6,1,400400,4152,1950,1902,791,1111
6001400500,"Census Tract 4005, Alameda County, California","Census Tract 4005, Alameda County, California",6,1,400500,3618,1682,1587,569,1018
6001400600,"Census Tract 4006, Alameda County, California","Census Tract 4006, Alameda County, California",6,1,400600,1691,784,709,299,410
6001400700,"Census Tract 4007, Alameda County, California","Census Tract 4007, Alameda County, California",6,1,400700,4062,1976,1756,519,1237
6001400800,"Census Tract 4008, Alameda County, California","Census Tract 4008, Alameda County, California",6,1,400800,3071,1754,1509,469,1040
6001400900,"Census Tract 4009, Alameda County, California","Census Tract 4009, Alameda County, California",6,1,400900,2178,1135,1043,477,566
6001401000,"Census Tract 4010, Alameda County, California","Census Tract 4010, Alameda County, California",6,1,401000,5007,2695,2373,880,1493
6001401100,"Census Tract 4011, Alameda County, California","Census Tract 4011, Alameda County, California",6,1,401100,4054,2152,2030,405,1625
6001401200,"Census Tract 4012, Alameda County, California","Census Tract 4012, Alameda County, California",6,1,401200,2456,1304,1245,544,701
6001401300,"Census Tract 4013, Alameda County, California","Census Tract 4013, Alameda County, California",6,1,401300,3983,1891,1743,213,1530
6001401400,"Census Tract 4014, Alameda County, California","Census Tract 4014, Alameda County, California",6,1,401400,4340,1786,1447,274,1173
6001401500,"Census Tract 4015, Alameda County, California","Census Tract 4015, Alameda County, California",6,1,401500,2080,1223,992,449,543
6001401600,"Census Tract 4016, Alameda County, California","Census Tract 4016, Alameda County, California",6,1,401600,1889,868,707,140,567
6001401700,"Census Tract 4017, Alameda County, California","Census Tract 4017, Alameda County, California",6,1,401700,2544,1203,1083,398,685
6001401800,"Census Tract 4018, Alameda County, California","Census Tract 4018, Alameda County, California",6,1,401800,2112,874,725,119,606
6001402200,"Census Tract 4022, Alameda County, California","Census Tract 4022, Alameda County, California",6,1,402200,2505,1062,940,283,657
6001402400,"Census Tract 4024, Alameda County, California","Census Tract 4024, Alameda County, California",6,1,402400,3101,1200,1101,139,962
6001402500,"Census Tract 4025, Alameda County, California","Census Tract 4025, Alameda County, California",6,1,402500,2026,809,750,140,610
6001402600,"Census Tract 4026, Alameda County, California","Census Tract 4026, Alameda County, California",6,1,402600,955,663,587,102,485
