FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Households: [Dollars adjusted for inflation to match value in 2018],Median Household Income (In 2018 Inflation Adjusted Dollars) [Dollars adjusted for inflation to match value in 2018],"Households: Less than $10,000 [Dollars adjusted for inflation to match value in 2018]","Households: $10,000 to $14,999 [Dollars adjusted for inflation to match value in 2018]","Households: $15,000 to $19,999 [Dollars adjusted for inflation to match value in 2018]","Households: $20,000 to $24,999 [Dollars adjusted for inflation to match value in 2018]","Households: $25,000 to $29,999 [Dollars adjusted for inflation to match value in 2018]","Households: $30,000 to $34,999 [Dollars adjusted for inflation to match value in 2018]","Households: $35,000 to $39,999 [Dollars adjusted for inflation to match value in 2018]","Households: $40,000 to $44,999 [Dollars adjusted for inflation to match value in 2018]","Households: $45,000 to $49,999 [Dollars adjusted for inflation to match value in 2018]","Households: $50,000 to $59,999 [Dollars adjusted for inflation to match value in 2018]","Households: $60,000 to $74,999 [Dollars adjusted for inflation to match value in 2018]","Households: $75,000 to $99,999 [Dollars adjusted for inflation to match value in 2018]","Households: $100,000 to $124,999 [Dollars adjusted for inflation to match value in 2018]","Households: $125,000 to $149,999 [Dollars adjusted for inflation to match value in 2018]","Households: $150,000 to $199,999 [Dollars adjusted for inflation to match value in 2018]","Households: $200,000 or More [Dollars adjusted for inflation to match value in 2018]",Median Household Income (In 2018 Inflation Adjusted Dollars): White Alone Householder [Dollars adjusted for inflation to match value in 2018],Median Household Income (In 2018 Inflation Adjusted Dollars): Black or African American Alone Householder [Dollars adjusted for inflation to match value in 2018],Median Household Income (In 2018 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder [Dollars adjusted for inflation to match value in 2018],Median Household Income (In 2018 Inflation Adjusted Dollars): Asian Alone [Dollars adjusted for inflation to match value in 2018],Median Household Income (In 2018 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder [Dollars adjusted for inflation to match value in 2018],Median Household Income (In 2018 Inflation Adjusted Dollars): Some Other Race Alone Householder [Dollars adjusted for inflation to match value in 2018],Median Household Income (In 2018 Inflation Adjusted Dollars): Two or More Races Householder [Dollars adjusted for inflation to match value in 2018],Median Household Income (In 2018 Inflation Adjusted Dollars): Hispanic or Latino Householder [Dollars adjusted for inflation to match value in 2018],"Median Household Income (In 2018 Inflation Adjusted Dollars): White Alone Householder, Not Hispanic or Latino [Dollars adjusted for inflation to match value in 2018]",Median Household Income Occupied Housing Units: Owner Occupied [Dollars adjusted for inflation to match value in 2018],Median Household Income Occupied Housing Units: Renter Occupied [Dollars adjusted for inflation to match value in 2018]
6037101110,"Census Tract 1011.10, Los Angeles County, California","Census Tract 1011.10, Los Angeles County, California",6,37,101110,5012,1682,53937,125,33,147,103,87,59,17,34,95,203,146,138,90,129,173,102,59673,,,50237,,31042,,36710,59963,89269,30516
6037101122,"Census Tract 1011.22, Los Angeles County, California","Census Tract 1011.22, Los Angeles County, California",6,37,101122,3504,1228,110793,67,6,11,41,21,8,18,19,19,55,86,181,168,135,224,170,110244,,,118093,,47237,95061,95824,109676,115019,70374
6037101210,"Census Tract 1012.10, Los Angeles County, California","Census Tract 1012.10, Los Angeles County, California",6,37,101210,6604,2216,46776,155,154,131,83,114,144,160,155,120,256,241,238,113,88,58,4,49010,29408,,17017,,37305,107107,39424,48957,67212,42088
6037101220,"Census Tract 1012.20, Los Angeles County, California","Census Tract 1012.20, Los Angeles County, California",6,37,101220,3123,1167,41464,84,81,117,75,74,76,56,43,39,107,127,135,75,26,22,30,37752,,,38158,,74230,16702,52765,38184,67752,27525
6037101300,"Census Tract 1013, Los Angeles County, California","Census Tract 1013, Los Angeles County, California",6,37,101300,4247,1529,85671,80,45,18,21,35,25,22,39,35,107,177,316,203,152,136,117,86911,,,84427,,,,84432,87614,94711,84059
6037101400,"Census Tract 1014, Los Angeles County, California","Census Tract 1014, Los Angeles County, California",6,37,101400,4047,1534,65788,151,69,62,72,83,77,55,47,56,58,126,219,121,98,145,95,72610,45044,,7591,,33691,,33541,78417,85070,20245
6037102103,"Census Tract 1021.03, Los Angeles County, California","Census Tract 1021.03, Los Angeles County, California",6,37,102103,1755,680,65457,5,24,17,4,4,15,47,94,89,23,49,91,64,58,60,35,65908,,,47237,,,,44268,77247,77961,47237
6037102104,"Census Tract 1021.04, Los Angeles County, California","Census Tract 1021.04, Los Angeles County, California",6,37,102104,3226,1310,87576,23,27,66,25,31,28,30,41,1,54,151,229,156,141,141,165,93125,,,77898,,,,40409,88986,93983,85158
6037102105,"Census Tract 1021.05, Los Angeles County, California","Census Tract 1021.05, Los Angeles County, California",6,37,102105,1847,570,48437,51,11,47,19,15,32,27,34,59,40,33,37,65,39,44,16,48062,,,37453,,61072,,48250,40039,53176,47780
6037102107,"Census Tract 1021.07, Los Angeles County, California","Census Tract 1021.07, Los Angeles County, California",6,37,102107,3542,1216,51736,80,97,81,75,64,38,20,48,94,101,120,160,75,30,75,59,52002,,,90257,,7273,,25539,57023,73325,24907
