FIPS,Name of Area,Qualifying Name,County,Census Tract,Total Population,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree
6037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",37,101110,4314,3085,524,765,1101,411,180,50,54
6037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",37,101122,3239,2597,168,749,888,463,248,13,68
6037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",37,101210,6052,4107,762,1185,1340,548,174,36,62
6037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",37,101220,3497,2484,515,700,769,347,129,0,24
6037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",37,101300,4297,3446,362,949,1145,604,278,82,26
6037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",37,101400,3851,2771,258,510,1057,625,224,81,16
6037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",37,102103,1771,1370,95,348,389,398,87,0,53
6037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",37,102104,3554,2664,218,636,813,595,361,15,26
6037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",37,102105,1857,1291,276,357,401,224,27,0,6
6037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",37,102107,4333,3290,306,726,1139,873,155,77,14
6037103101,Census Tract 1031.01,"Census Tract 1031.01, Los Angeles County, California",37,103101,2597,1936,291,396,625,405,165,27,27
6037103102,Census Tract 1031.02,"Census Tract 1031.02, Los Angeles County, California",37,103102,4456,3453,519,1065,866,718,268,10,7
6037103200,Census Tract 1032,"Census Tract 1032, Los Angeles County, California",37,103200,6726,5127,694,1387,1782,999,135,24,106
6037103300,Census Tract 1033,"Census Tract 1033, Los Angeles County, California",37,103300,3549,2683,105,456,912,784,138,260,28
6037103400,Census Tract 1034,"Census Tract 1034, Los Angeles County, California",37,103400,6662,5012,453,1158,1955,878,380,160,28
6037104103,Census Tract 1041.03,"Census Tract 1041.03, Los Angeles County, California",37,104103,3647,2429,657,702,666,294,103,0,7
6037104105,Census Tract 1041.05,"Census Tract 1041.05, Los Angeles County, California",37,104105,6190,3844,1480,788,827,567,111,46,25
6037104108,Census Tract 1041.08,"Census Tract 1041.08, Los Angeles County, California",37,104108,5420,3412,1235,876,817,334,128,8,14
6037104124,Census Tract 1041.24,"Census Tract 1041.24, Los Angeles County, California",37,104124,4189,2780,504,644,700,616,247,41,28
6037104201,Census Tract 1042.01,"Census Tract 1042.01, Los Angeles County, California",37,104201,4424,2812,1303,920,478,105,6,0,0
6037104203,Census Tract 1042.03,"Census Tract 1042.03, Los Angeles County, California",37,104203,5541,3305,1545,881,669,179,19,0,12
6037104204,Census Tract 1042.04,"Census Tract 1042.04, Los Angeles County, California",37,104204,3562,2392,1036,727,403,189,33,0,4
6037104310,Census Tract 1043.10,"Census Tract 1043.10, Los Angeles County, California",37,104310,5313,3184,1537,1096,442,103,0,6,0
6037104320,Census Tract 1043.20,"Census Tract 1043.20, Los Angeles County, California",37,104320,5599,3612,1574,1044,601,318,46,0,29
6037104401,Census Tract 1044.01,"Census Tract 1044.01, Los Angeles County, California",37,104401,3452,2158,1046,651,358,81,4,18,0
6037104403,Census Tract 1044.03,"Census Tract 1044.03, Los Angeles County, California",37,104403,3279,2224,866,825,407,114,12,0,0
6037104404,Census Tract 1044.04,"Census Tract 1044.04, Los Angeles County, California",37,104404,3128,1855,953,535,255,78,31,3,0
6037104500,Census Tract 1045,"Census Tract 1045, Los Angeles County, California",37,104500,2950,1915,907,496,378,121,13,0,0
6037104610,Census Tract 1046.10,"Census Tract 1046.10, Los Angeles County, California",37,104610,3504,2196,1144,643,324,74,6,0,5
6037104620,Census Tract 1046.20,"Census Tract 1046.20, Los Angeles County, California",37,104620,3684,2277,1072,751,266,169,19,0,0
6037104701,Census Tract 1047.01,"Census Tract 1047.01, Los Angeles County, California",37,104701,4325,2236,1398,481,283,72,2,0,0
6037104703,Census Tract 1047.03,"Census Tract 1047.03, Los Angeles County, California",37,104703,2311,1280,674,350,165,76,10,5,0
6037104704,Census Tract 1047.04,"Census Tract 1047.04, Los Angeles County, California",37,104704,4331,2542,704,829,649,278,49,33,0
6037104810,Census Tract 1048.10,"Census Tract 1048.10, Los Angeles County, California",37,104810,5789,3770,1923,1018,627,140,34,28,0
6037104821,Census Tract 1048.21,"Census Tract 1048.21, Los Angeles County, California",37,104821,3361,2009,746,661,387,176,33,6,0
6037104822,Census Tract 1048.22,"Census Tract 1048.22, Los Angeles County, California",37,104822,2748,1676,907,383,287,80,19,0,0
6037106010,Census Tract 1060.10,"Census Tract 1060.10, Los Angeles County, California",37,106010,3108,2076,409,550,666,272,135,26,18
6037106020,Census Tract 1060.20,"Census Tract 1060.20, Los Angeles County, California",37,106020,5807,4116,1133,1095,1128,524,161,40,35
6037106111,Census Tract 1061.11,"Census Tract 1061.11, Los Angeles County, California",37,106111,4482,3219,531,820,934,591,188,98,57
6037106112,Census Tract 1061.12,"Census Tract 1061.12, Los Angeles County, California",37,106112,5885,3685,759,853,1179,650,137,87,20
6037106113,Census Tract 1061.13,"Census Tract 1061.13, Los Angeles County, California",37,106113,3962,2613,758,712,578,403,123,21,18
6037106114,Census Tract 1061.14,"Census Tract 1061.14, Los Angeles County, California",37,106114,6410,3562,1206,944,870,418,71,53,0
6037106403,Census Tract 1064.03,"Census Tract 1064.03, Los Angeles County, California",37,106403,3431,2189,994,627,387,146,29,6,0
6037106405,Census Tract 1064.05,"Census Tract 1064.05, Los Angeles County, California",37,106405,4813,2977,1144,891,741,126,75,0,0
6037106406,Census Tract 1064.06,"Census Tract 1064.06, Los Angeles County, California",37,106406,5860,3856,892,1196,1103,455,141,49,20
6037106407,Census Tract 1064.07,"Census Tract 1064.07, Los Angeles County, California",37,106407,3272,2054,706,550,497,250,45,0,6
6037106408,Census Tract 1064.08,"Census Tract 1064.08, Los Angeles County, California",37,106408,3817,2129,702,812,491,106,8,3,7
6037106510,Census Tract 1065.10,"Census Tract 1065.10, Los Angeles County, California",37,106510,5347,3527,450,863,1095,877,211,21,10
6037106520,Census Tract 1065.20,"Census Tract 1065.20, Los Angeles County, California",37,106520,5879,3896,1417,1266,954,219,40,0,0
6037106603,Census Tract 1066.03,"Census Tract 1066.03, Los Angeles County, California",37,106603,3222,2264,199,254,615,838,228,101,29
6037106604,Census Tract 1066.04,"Census Tract 1066.04, Los Angeles County, California",37,106604,5143,3170,1223,849,698,370,25,5,0
6037106641,Census Tract 1066.41,"Census Tract 1066.41, Los Angeles County, California",37,106641,2352,1730,159,291,425,544,192,65,54
6037106642,Census Tract 1066.42,"Census Tract 1066.42, Los Angeles County, California",37,106642,3016,2211,126,382,892,476,193,66,76
6037106643,Census Tract 1066.43,"Census Tract 1066.43, Los Angeles County, California",37,106643,4599,3292,314,341,754,1048,552,188,95
6037106645,Census Tract 1066.45,"Census Tract 1066.45, Los Angeles County, California",37,106645,3491,2585,140,604,565,964,201,75,36
6037106646,Census Tract 1066.46,"Census Tract 1066.46, Los Angeles County, California",37,106646,3439,2572,342,622,725,570,278,29,6
6037106648,Census Tract 1066.48,"Census Tract 1066.48, Los Angeles County, California",37,106648,4569,2563,1061,673,610,174,0,45,0
6037106649,Census Tract 1066.49,"Census Tract 1066.49, Los Angeles County, California",37,106649,2599,1756,396,438,416,375,89,31,11
6037107010,Census Tract 1070.10,"Census Tract 1070.10, Los Angeles County, California",37,107010,3093,1916,765,541,489,96,21,0,4
6037107020,Census Tract 1070.20,"Census Tract 1070.20, Los Angeles County, California",37,107020,5442,3186,1188,753,732,378,97,8,30
6037108101,Census Tract 1081.01,"Census Tract 1081.01, Los Angeles County, California",37,108101,2417,1857,154,215,586,512,206,124,60
6037108102,Census Tract 1081.02,"Census Tract 1081.02, Los Angeles County, California",37,108102,3677,2689,263,362,460,1015,384,154,51
6037108103,Census Tract 1081.03,"Census Tract 1081.03, Los Angeles County, California",37,108103,3153,2422,155,378,447,762,338,244,98
6037108104,Census Tract 1081.04,"Census Tract 1081.04, Los Angeles County, California",37,108104,1922,1348,52,206,292,467,213,91,27
6037108201,Census Tract 1082.01,"Census Tract 1082.01, Los Angeles County, California",37,108201,5501,3982,141,510,828,1536,550,354,63
6037108202,Census Tract 1082.02,"Census Tract 1082.02, Los Angeles County, California",37,108202,7561,5495,322,694,1073,1896,976,451,83
6037109100,Census Tract 1091,"Census Tract 1091, Los Angeles County, California",37,109100,2738,2035,525,577,669,162,88,8,6
6037109200,Census Tract 1092,"Census Tract 1092, Los Angeles County, California",37,109200,2995,2073,224,423,527,654,207,20,18
6037109300,Census Tract 1093,"Census Tract 1093, Los Angeles County, California",37,109300,3247,2358,171,799,691,466,182,31,18
6037109400,Census Tract 1094,"Census Tract 1094, Los Angeles County, California",37,109400,3959,2628,627,854,679,397,26,45,0
6037109500,Census Tract 1095,"Census Tract 1095, Los Angeles County, California",37,109500,4821,2864,1351,709,600,168,36,0,0
6037109601,Census Tract 1096.01,"Census Tract 1096.01, Los Angeles County, California",37,109601,4938,3281,496,1033,1193,451,77,31,0
6037109603,Census Tract 1096.03,"Census Tract 1096.03, Los Angeles County, California",37,109603,4476,3035,856,699,752,551,116,54,7
6037109604,Census Tract 1096.04,"Census Tract 1096.04, Los Angeles County, California",37,109604,3088,2150,284,585,804,328,129,20,0
6037109700,Census Tract 1097,"Census Tract 1097, Los Angeles County, California",37,109700,4568,3179,265,781,902,798,292,80,61
6037109800,Census Tract 1098,"Census Tract 1098, Los Angeles County, California",37,109800,5398,3618,579,1017,1024,688,253,41,16
6037111100,Census Tract 1111,"Census Tract 1111, Los Angeles County, California",37,111100,3128,2141,380,487,601,497,159,12,5
6037111201,Census Tract 1112.01,"Census Tract 1112.01, Los Angeles County, California",37,111201,3485,2529,278,521,750,613,253,58,56
6037111202,Census Tract 1112.02,"Census Tract 1112.02, Los Angeles County, California",37,111202,5329,3579,295,795,1032,1023,363,62,9
6037111204,Census Tract 1112.04,"Census Tract 1112.04, Los Angeles County, California",37,111204,6153,4525,273,459,1141,1685,567,315,85
6037111205,Census Tract 1112.05,"Census Tract 1112.05, Los Angeles County, California",37,111205,4064,2542,112,205,945,763,340,113,64
6037111206,Census Tract 1112.06,"Census Tract 1112.06, Los Angeles County, California",37,111206,4382,3191,277,751,972,675,382,92,42
6037111301,Census Tract 1113.01,"Census Tract 1113.01, Los Angeles County, California",37,111301,7151,4688,705,844,1512,953,470,103,101
6037111302,Census Tract 1113.02,"Census Tract 1113.02, Los Angeles County, California",37,111302,5325,3665,266,684,1033,1158,311,135,78
6037111400,Census Tract 1114,"Census Tract 1114, Los Angeles County, California",37,111400,8066,5912,966,1491,1709,1304,315,79,48
6037113101,Census Tract 1131.01,"Census Tract 1131.01, Los Angeles County, California",37,113101,3699,2807,182,797,820,605,261,101,41
6037113102,Census Tract 1131.02,"Census Tract 1131.02, Los Angeles County, California",37,113102,2928,2284,110,355,621,704,303,126,65
6037113211,Census Tract 1132.11,"Census Tract 1132.11, Los Angeles County, California",37,113211,3929,3109,123,472,1083,962,391,32,46
6037113212,Census Tract 1132.12,"Census Tract 1132.12, Los Angeles County, California",37,113212,3272,2436,163,537,794,602,241,70,29
6037113213,Census Tract 1132.13,"Census Tract 1132.13, Los Angeles County, California",37,113213,5059,3702,299,866,1155,912,351,99,20
6037113231,Census Tract 1132.31,"Census Tract 1132.31, Los Angeles County, California",37,113231,2424,1724,88,231,572,597,164,41,31
6037113232,Census Tract 1132.32,"Census Tract 1132.32, Los Angeles County, California",37,113232,4358,3349,356,568,1015,851,352,90,117
6037113233,Census Tract 1132.33,"Census Tract 1132.33, Los Angeles County, California",37,113233,7624,5051,970,1480,1443,976,145,22,15
6037113234,Census Tract 1132.34,"Census Tract 1132.34, Los Angeles County, California",37,113234,4818,3218,780,755,926,530,154,28,45
6037113235,Census Tract 1132.35,"Census Tract 1132.35, Los Angeles County, California",37,113235,1834,1301,53,267,470,369,118,18,6
6037113237,Census Tract 1132.37,"Census Tract 1132.37, Los Angeles County, California",37,113237,4145,2982,279,666,932,720,279,67,39
6037113301,Census Tract 1133.01,"Census Tract 1133.01, Los Angeles County, California",37,113301,2960,1960,148,249,515,666,261,95,26
6037113303,Census Tract 1133.03,"Census Tract 1133.03, Los Angeles County, California",37,113303,4307,3096,320,805,1039,607,208,66,51
6037113321,Census Tract 1133.21,"Census Tract 1133.21, Los Angeles County, California",37,113321,6420,4480,430,762,1374,1420,421,61,12
6037113322,Census Tract 1133.22,"Census Tract 1133.22, Los Angeles County, California",37,113322,4284,3481,388,485,1290,773,329,132,84
6037113401,Census Tract 1134.01,"Census Tract 1134.01, Los Angeles County, California",37,113401,6284,4483,663,725,1186,1551,276,49,33
6037113421,Census Tract 1134.21,"Census Tract 1134.21, Los Angeles County, California",37,113421,6810,4326,874,1188,1507,556,152,25,24
6037113422,Census Tract 1134.22,"Census Tract 1134.22, Los Angeles County, California",37,113422,6385,4589,856,1262,1199,979,232,39,22
6037115101,Census Tract 1151.01,"Census Tract 1151.01, Los Angeles County, California",37,115101,5060,3732,160,613,1130,1034,478,278,39
