FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Households:,Median Household Income (In 2018 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units: Owner Occupied,Median Household Income Occupied Housing Units: Renter Occupied,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median Household Income (In 2018 Inflation Adjusted Dollars): White Alone Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Black or African American Alone Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): American Indian and Alaska Native Alone  Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Asian Alone,Median Household Income (In 2018 Inflation Adjusted Dollars): Native Hawaiian and Other Pacific Islander Alone  Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Some Other Race Alone Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Two or More Races Householder,Median Household Income (In 2018 Inflation Adjusted Dollars): Hispanic or Latino Householder,"Median Household Income (In 2018 Inflation Adjusted Dollars): White Alone Householder, Not Hispanic or Latino"
6037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",6,37,101110,4314,1596,53077,90038,35240,110,97,70,76,123,96,54,78,88,64,126,277,91,93,109,44,49596,,,77639,,57625,70625,53625,48860
6037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",6,37,101122,3239,1256,88953,101136,66939,52,18,0,15,39,38,7,40,23,62,186,232,114,105,133,192,88488,,,,,108409,,89257,87311
6037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",6,37,101210,6052,2321,32119,91477,29761,285,140,335,69,223,145,61,95,220,128,147,225,96,67,14,71,30713,,,,,40526,,32039,30944
6037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",6,37,101220,3497,1294,41728,78047,32220,65,104,160,56,22,133,60,118,123,53,75,88,110,45,43,39,39330,,,48375,,67778,,46393,39330
6037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",6,37,101300,4297,1435,86914,86953,,75,14,69,36,29,23,18,123,49,87,80,200,146,107,195,184,85938,,,118147,,,121563,187989,81786
6037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",6,37,101400,3851,1473,71125,93875,,20,82,68,146,86,47,14,47,27,88,134,156,166,136,179,77,67581,,,112269,,,137708,51026,68871
6037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",6,37,102103,1771,696,76333,86696,52321,20,22,30,8,20,35,37,16,18,51,83,118,107,48,47,36,75667,,,,,,122708,79167,75333
6037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",6,37,102104,3554,1270,70754,70933,,84,31,7,72,0,15,250,46,0,58,116,144,233,51,48,115,78816,,,,,,,39053,80114
6037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",6,37,102105,1857,563,52132,79423,47011,10,20,19,46,36,30,34,0,43,80,31,113,40,18,10,33,50944,,,88000,,62500,81250,50455,57083
6037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",6,37,102107,4333,1305,106037,125160,53625,22,7,29,98,49,7,15,54,15,113,109,78,148,170,275,116,106536,,,161250,,103571,,100982,107357
6037103101,Census Tract 1031.01,"Census Tract 1031.01, Los Angeles County, California",6,37,103101,2597,916,89211,96382,33250,25,40,43,42,16,25,40,38,4,58,89,94,87,144,94,77,89904,,,82500,,71429,,51389,94250
6037103102,Census Tract 1031.02,"Census Tract 1031.02, Los Angeles County, California",6,37,103102,4456,1568,74631,79353,28988,38,58,60,37,76,71,66,38,45,124,180,197,231,157,103,87,71699,,,105174,,66786,,72115,71154
6037103200,Census Tract 1032,"Census Tract 1032, Los Angeles County, California",6,37,103200,6726,2274,71346,96923,42218,27,125,115,164,172,120,11,119,23,93,210,196,384,231,115,169,70591,,,,,,,64545,75647
6037103300,Census Tract 1033,"Census Tract 1033, Los Angeles County, California",6,37,103300,3549,1225,93207,114531,75773,26,35,28,33,8,35,22,33,31,93,110,199,99,58,83,332,85978,,,158333,,,,,86250
6037103400,Census Tract 1034,"Census Tract 1034, Los Angeles County, California",6,37,103400,6662,2432,81618,99625,45199,92,107,82,122,163,104,62,74,58,82,135,302,314,261,268,206,80098,,,121750,,142667,,76799,83167
6037104103,Census Tract 1041.03,"Census Tract 1041.03, Los Angeles County, California",6,37,104103,3647,845,86989,98537,45244,7,27,0,20,29,28,56,52,73,29,47,152,137,97,42,49,97835,66500,,,,92813,,86818,122548
6037104105,Census Tract 1041.05,"Census Tract 1041.05, Los Angeles County, California",6,37,104105,6190,1673,52616,72432,26603,87,171,49,108,81,38,141,92,41,137,220,150,86,134,77,61,43125,63681,,94063,,46375,,42554,
6037104108,Census Tract 1041.08,"Census Tract 1041.08, Los Angeles County, California",6,37,104108,5420,1421,50259,78281,43205,86,79,35,52,142,46,82,117,66,132,121,164,117,92,72,18,47826,46607,,97500,,51829,,51951,25385
6037104124,Census Tract 1041.24,"Census Tract 1041.24, Los Angeles County, California",6,37,104124,4189,1260,84250,94962,50995,26,21,81,44,61,41,31,8,0,64,123,253,160,85,99,163,81071,84309,,,,97440,,75199,111071
6037104201,Census Tract 1042.01,"Census Tract 1042.01, Los Angeles County, California",6,37,104201,4424,919,51563,65167,39671,59,54,40,42,25,71,46,68,37,107,74,138,79,22,47,10,53690,24028,,,,54531,,54345,53672
6037104203,Census Tract 1042.03,"Census Tract 1042.03, Los Angeles County, California",6,37,104203,5541,1145,46406,73281,31563,53,100,43,123,63,12,126,48,48,142,66,93,61,43,101,23,41989,52857,,,,48828,28472,43194,
6037104204,Census Tract 1042.04,"Census Tract 1042.04, Los Angeles County, California",6,37,104204,3562,730,63333,82841,35288,18,39,29,48,56,23,93,30,0,25,59,93,94,60,44,19,79464,30938,,137500,,28611,71500,52109,80875
6037104310,Census Tract 1043.10,"Census Tract 1043.10, Los Angeles County, California",6,37,104310,5313,879,69904,66000,76250,14,11,54,22,44,26,55,61,27,51,112,101,128,62,66,45,65795,36094,,,,88083,73438,73750,64583
6037104320,Census Tract 1043.20,"Census Tract 1043.20, Los Angeles County, California",6,37,104320,5599,1326,52895,96213,29024,78,132,97,42,101,51,46,25,44,211,145,89,148,0,76,41,57042,,,10179,,53342,,55486,
6037104401,Census Tract 1044.01,"Census Tract 1044.01, Los Angeles County, California",6,37,104401,3452,689,69965,77344,32431,5,51,18,33,28,30,26,27,42,33,85,135,84,32,47,13,66136,,,,,75469,,69718,102708
6037104403,Census Tract 1044.03,"Census Tract 1044.03, Los Angeles County, California",6,37,104403,3279,665,55398,65250,38542,4,53,45,57,18,25,6,7,48,115,48,96,93,16,28,6,58095,,,125000,,48281,,54635,
6037104404,Census Tract 1044.04,"Census Tract 1044.04, Los Angeles County, California",6,37,104404,3128,658,55341,71250,42500,24,32,46,32,27,60,36,17,21,70,92,32,125,9,23,12,46786,,,,,63158,,53333,
6037104500,Census Tract 1045,"Census Tract 1045, Los Angeles County, California",6,37,104500,2950,610,60139,64044,31406,17,32,61,35,38,37,14,4,44,22,72,117,59,55,0,3,31250,,,,,64615,64375,61389,
6037104610,Census Tract 1046.10,"Census Tract 1046.10, Los Angeles County, California",6,37,104610,3504,729,60320,67875,26908,32,17,29,67,46,47,17,20,33,51,125,117,59,23,40,6,62045,,,,,53750,,60145,
6037104620,Census Tract 1046.20,"Census Tract 1046.20, Los Angeles County, California",6,37,104620,3684,711,62014,71250,45568,37,5,30,26,19,39,41,52,28,64,96,106,64,36,19,49,64583,,,,,46761,109167,61736,93750
6037104701,Census Tract 1047.01,"Census Tract 1047.01, Los Angeles County, California",6,37,104701,4325,949,32036,43500,28315,121,98,47,105,75,66,74,74,32,45,82,82,25,9,0,14,32098,10583,,,,36917,,33145,
6037104703,Census Tract 1047.03,"Census Tract 1047.03, Los Angeles County, California",6,37,104703,2311,603,39181,51897,35461,44,51,23,67,47,31,48,27,17,68,43,38,39,35,20,5,38017,,,,,50682,,39052,
6037104704,Census Tract 1047.04,"Census Tract 1047.04, Los Angeles County, California",6,37,104704,4331,1183,48581,51520,43676,20,37,104,70,135,30,26,116,87,67,72,220,88,30,43,38,43039,76806,,103250,,45132,,42598,91250
6037104810,Census Tract 1048.10,"Census Tract 1048.10, Los Angeles County, California",6,37,104810,5789,1076,74145,82788,39935,0,60,0,11,26,54,64,64,28,59,198,216,82,33,148,33,74016,,,,,88456,,74770,152824
