FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Total Population,Population Density (Per Sq. Mile),Area (Land),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: Two or More Races,Total: Two or More Asian
6037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",6,37,101110,4314,4314,9780.452,0.441083897,4314,3314,47,4,329,4,499,117,1359,62,0
6037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",6,37,101122,3239,3239,3172.779,1.020871525,3239,2837,61,13,206,0,61,61,143,0,0
6037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",6,37,101210,6052,6052,24089.21,0.251232824,6052,4771,172,0,260,0,736,113,2584,68,0
6037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",6,37,101220,3497,3497,12959.46,0.269841405,3497,2494,71,0,302,0,487,143,1315,45,0
6037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",6,37,101300,4297,4297,4311.606,0.99661234,4297,3705,161,0,289,0,48,94,284,34,0
6037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",6,37,101400,3851,3851,1580.659,2.436326346,3851,3022,18,43,348,0,224,196,744,7,0
6037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",6,37,102103,1771,1771,3865.934,0.458104053,1771,1523,0,0,113,0,50,85,470,58,0
6037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",6,37,102104,3554,3554,5549.938,0.640367446,3554,2720,117,3,443,8,206,57,575,4,4
6037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",6,37,102105,1857,1857,9760.528,0.190256094,1857,1179,41,13,117,12,415,80,1262,44,0
6037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",6,37,102107,4333,4333,869.3781,4.98402232,4333,3402,111,6,395,0,319,100,1168,51,40
6037103101,Census Tract 1031.01,"Census Tract 1031.01, Los Angeles County, California",6,37,103101,2597,2597,3313.715,0.783712511,2597,2201,13,12,171,0,85,115,637,66,0
6037103102,Census Tract 1031.02,"Census Tract 1031.02, Los Angeles County, California",6,37,103102,4456,4456,9299.53,0.479163996,4456,3240,0,7,753,0,345,111,1020,43,0
6037103200,Census Tract 1032,"Census Tract 1032, Los Angeles County, California",6,37,103200,6726,6726,2349.455,2.862792028,6726,5902,87,0,425,0,140,172,2368,37,31
6037103300,Census Tract 1033,"Census Tract 1033, Los Angeles County, California",6,37,103300,3549,3549,1496.57,2.371422184,3549,3018,42,9,309,0,52,119,500,22,0
6037103400,Census Tract 1034,"Census Tract 1034, Los Angeles County, California",6,37,103400,6662,6662,6899.722,0.965546172,6662,5017,150,104,864,168,202,157,1557,39,142
6037104103,Census Tract 1041.03,"Census Tract 1041.03, Los Angeles County, California",6,37,104103,3647,3647,9952.162,0.366453049,3647,2325,502,20,265,8,476,51,2485,38,0
6037104105,Census Tract 1041.05,"Census Tract 1041.05, Los Angeles County, California",6,37,104105,6190,6190,27419.33,0.22575317,6190,3300,307,32,608,0,1694,249,4582,177,0
6037104108,Census Tract 1041.08,"Census Tract 1041.08, Los Angeles County, California",6,37,104108,5420,5420,12800.81,0.423410842,5420,3159,516,0,172,13,1502,58,4341,38,0
6037104124,Census Tract 1041.24,"Census Tract 1041.24, Los Angeles County, California",6,37,104124,4189,4189,2422.087,1.729499905,4189,2582,386,21,353,0,724,123,2178,36,18
6037104201,Census Tract 1042.01,"Census Tract 1042.01, Los Angeles County, California",6,37,104201,4424,4424,10511.03,0.420891139,4424,2564,423,35,0,0,1393,9,3957,9,0
6037104203,Census Tract 1042.03,"Census Tract 1042.03, Los Angeles County, California",6,37,104203,5541,5541,20270.72,0.273349915,5541,3068,451,38,52,0,1877,55,4940,48,0
6037104204,Census Tract 1042.04,"Census Tract 1042.04, Los Angeles County, California",6,37,104204,3562,3562,3462.374,1.028773878,3562,2230,165,12,207,0,799,149,2754,81,10
6037104310,Census Tract 1043.10,"Census Tract 1043.10, Los Angeles County, California",6,37,104310,5313,5313,9121.302,0.582482622,5313,2825,114,19,15,0,2213,127,5070,113,0
6037104320,Census Tract 1043.20,"Census Tract 1043.20, Los Angeles County, California",6,37,104320,5599,5599,11963.14,0.468021087,5599,3478,207,0,63,0,1595,256,5102,234,0
6037104401,Census Tract 1044.01,"Census Tract 1044.01, Los Angeles County, California",6,37,104401,3452,3452,13126.44,0.262980755,3452,1975,0,0,28,62,1365,22,3363,22,0
6037104403,Census Tract 1044.03,"Census Tract 1044.03, Los Angeles County, California",6,37,104403,3279,3279,12253.32,0.267600854,3279,1812,0,24,95,0,1320,28,3169,28,0
6037104404,Census Tract 1044.04,"Census Tract 1044.04, Los Angeles County, California",6,37,104404,3128,3128,15013.31,0.208348456,3128,1701,132,11,61,0,1206,17,2876,0,0
6037104500,Census Tract 1045,"Census Tract 1045, Los Angeles County, California",6,37,104500,2950,2950,14388.77,0.205021027,2950,1367,0,10,5,0,1499,69,2895,65,0
6037104610,Census Tract 1046.10,"Census Tract 1046.10, Los Angeles County, California",6,37,104610,3504,3504,15326.36,0.22862577,3504,1760,0,12,0,0,1692,40,3415,29,0
6037104620,Census Tract 1046.20,"Census Tract 1046.20, Los Angeles County, California",6,37,104620,3684,3684,17963.17,0.205086278,3684,1994,26,15,16,0,1506,127,3607,127,0
6037104701,Census Tract 1047.01,"Census Tract 1047.01, Los Angeles County, California",6,37,104701,4325,4325,20348.08,0.212550792,4325,2662,168,0,0,0,1471,24,4132,24,0
6037104703,Census Tract 1047.03,"Census Tract 1047.03, Los Angeles County, California",6,37,104703,2311,2311,5121.882,0.451201318,2311,1499,137,63,0,0,601,11,2100,11,0
6037104704,Census Tract 1047.04,"Census Tract 1047.04, Los Angeles County, California",6,37,104704,4331,4331,6746.562,0.641956642,4331,2151,598,0,336,0,1207,39,3190,21,0
6037104810,Census Tract 1048.10,"Census Tract 1048.10, Los Angeles County, California",6,37,104810,5789,5789,13346.95,0.433732125,5789,3815,9,31,62,0,1826,46,5521,46,0
6037104821,Census Tract 1048.21,"Census Tract 1048.21, Los Angeles County, California",6,37,104821,3361,3361,16368.78,0.205329909,3361,1903,63,27,151,0,1212,5,3002,0,0
6037104822,Census Tract 1048.22,"Census Tract 1048.22, Los Angeles County, California",6,37,104822,2748,2748,11776.72,0.233341622,2748,1739,34,49,124,0,779,23,2505,17,0
